pmid,title_e,journal,abstract,topic
34971269,UW Project ECHO-Dementia: Implementation of a virtual clinic and telementoring program to improve dementia diagnosis and treatment in rural and under-resourced primary care settings.,Alzheimers Dement,"BACKGROUND: Primary care providers are on the front lines of dementia care and frequently the first point of contact for individuals and families concerned about changes in memory and thinking. In addition to the challenges of managing complex medical comorbidities, primary care providers in rural or lower-resource settings often lack access to specialists, interdisciplinary teams or other programs and services to aid in diagnosis and care of individuals with mild cognitive impairment and dementia. The current project extends an existing technology-based hub and spoke model virtual clinic, Project ECHO (Extension for Community Healthcare Outcomes, University of New Mexico), to improve diagnosis and care of dementia in primary care. METHOD: The current project is an extension of work related to the Washington State Plan for Alzheimer's Disease and Other Dementias with implementation supported by legislative funding. The program includes an interdisciplinary expert panel (""hub"") meeting with participants (""spokes"") including primary and allied health care providers from healthcare systems, group practices, and solo practitioners. The twice-monthly virtual clinic sessions include a brief didactic followed by case-based learning in an ""all-teach, all-learn"" format emphasizing expertise and experience of spoke sites as well as the hub. Participants are provided with resources discussed during the clinic session, ongoing opportunities for consultation, and free continuing education credits. RESULTS: Launching amid the COVID-19 pandemic, the program has provided over 250 hours of education to more than 50 providers across 20 unique sites. Post session surveys indicate that the program is well-received with 2 in 3 providers indicating that they will change their practice based on learning. Surveys also demonstrate significant increases in both knowledge and confidence in dementia-specific diagnosis and care. CONCLUSION: The success of the current project demonstrates both the feasibility and benefit of leveraging technology to deliver dementia-related education to primary care providers in rural and under-resourced settings. While initially hampered by disruptions in care due to the COVID-19 pandemic, increased technological proficiency on the provider and systems level has appeared to be a benefit in terms of resources and comfort participating in a virtual education program to scale Dementia Capable Care in Primary Care.",alzheimer
34971266,Person-centered care for family caregivers of people living with dementia: Co-designing an education program for the healthcare workforce.,Alzheimers Dement,"BACKGROUND: Recent research recommends the healthcare workforce receive competency-based education to identify, assess, support and partner with family-caregivers [FCGs} across the care trajectory.([1 2]) Although the risk of FCG anxiety, burden, and loneliness to FCG's wellbeing is widely documented, typically education has been targeted towards FCG's to increase their care skills rather to educate healthcare providers to support FCG's caregiving and wellbeing.([3]) OBJECTIVES: We will present the co-design process used to create a competency-based education program for the healthcare workforce that ensures a person-centered focus on FCGs and introduce our Health Workforce Caregiver-Centered Care Education focused on dementia. Co-design is the act of creating with stakeholders to ensure the results meet their needs and are usable. PROJECT DESCRIPTION: We began by coining the concept ""caregiver-centered care,"" defining it as: a collaborative working relationship between families and healthcare providers aimed at supporting FCGs in their caregiving role, decisions about services, care management, and advocacy ([4 5]) . From this definition, and working with multi-level interdisciplinary stakeholders we designed([6]) and validated([7]) a Caregiver-Centered Care Competency Framework in a Modified Delphi Process. Stakeholders (n= 101) including FCGs, health providers, policy makers, community organizations, research team, script writer, and educational designers then used effective practices for dementia education for the health workforce ([8-11]) to co-design the first or 'foundational' level of a Caregiver Centered Care education program. RESULTS: Teaching and learning resources include six competency-aligned educational modules with videos and interactive exercises that encourage reflection. With the COVID-19 pandemic, we moved the education online (caregivercare.ca). In the first two months online, November 9, 2020-January 9, 2021, 352 healthcare providers completed the education. To date, learners' qualitative evaluations have been positive, ""Very good information for professionals working with caregivers; especially relevant to homecare, geriatricians, allied health, and others working within the Seniors' Health realm. Engaging format that really evokes empathy for caregivers."" DISCUSSION: We continue to use mixed methods to evaluate the Caregiver-Centered Care Education, for acceptability and effectiveness, in five care contexts (primary, acute, home, supportive living, long-term care). CONCLUSION: We expect that our education will support caregiver-centered care in all settings providing dementia-related care.",alzheimer
34971258,Efficacy of cognitive stimulation therapy virtual program for older adults with dementia in COVID-19 isolation.,Alzheimers Dement,"BACKGROUND: Cognitive stimulation virtual therapy (CSVT) is an evidence-based psychosocial intervention for people with mild-to-moderate dementia due to various etiological factors. OBJECTIVE: The aim of the present study was to assess the efficacy of a cognitive stimulation virtual therapy CSVT program, in individuals who have vascular or Alzheimer dementia in COVID-19 isolation. METHODS: Older adults with mild vascular or Alzheimer dementia (N = 20) were assigned to one of two programs: one group (N = 10) attended during six months, two sessions per week program of the cognitive stimulation virtual therapy CSVT program, while the other, active control group (N = 10) took part in alternative activities. The following tests were applied to their primary caregivers. A short form of the Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE) and quality of life (Quality of Life (QoL) RESULTS: Compared with the active controls, the cognitive stimulation virtual therapy CSVT program showed a greater improvement in general cognitive functioning after the intervention (i.e. score increase on the IQCODE test). A trend towards improvement was also identified in short term/working memory and perceived quality of life (Quality of life (QoL) of elderly with dementia). The primary caregivers also perceived an improvement in mood, stress, anxiety and quality of sleep after the start of the virtual therapy during COVID-19 isolation. CONCLUSION: The present results support the efficacy of cognitive stimulation virtual therapy CSVT program in people with dementia during COVID-19 isolation.",alzheimer
34971256,Lessons from COVID-19 pandemic: Clinical experiences on telemedicine in patients with dementia in Iran.,Alzheimers Dement,"BACKGROUND: One of the impacts of COVID-19 pandemic on health system has been increasing the burden on the patients with dementia and their families. Telemedicine has shown to be a solution for this vulnerable group and can be used for cognitive assessment, medication adjustment, patient referral, reduces the travel time, cost and caregiver burden. Despite the challenges in acceptance for this novel technology in the elderly (1,) it can reduce the burden of disease and increase access to specialised services. All these alongside neurologic visit could be provided with a telephone hotline or preferably video-platform tele-visit.(2) However, barriers to develop telemedicine include a lack of broadband internet access and the need for insurance coverage.(3) The American Academy of Neurology has been developed a comprehensive guideline to implement the tele-visit approach in the COVID-19 crisis with a special approach to neurological examination limitations in the patients.(4) Numerous studies evaluated this approach to assess patients including dementia.(5) Overall, the patients, caregivers, and the neurologists reported a high satisfaction rate.(6) Yaadmaan Institution for Brain, Cognition and Memory Studies with a multidisciplinary team including cognitive neurologist, psychiatrist, psychologist, geriatrician, and clinical pharmacist is the first private referral center for cognitive disorders in Iran. After starting quarantine and tight restrictions and because of too many families who were seeking help for their patients via Yaadmaan helpline, we decided to start Telemedicine method. The approach and compatible examinations have been shown in Table 2 and 3 respectively. In addition, we defined a list of serious states to avoid Telemedicine for patients referal to the hospital in Table 4. Based on our one-year experiences, it seems there are promising results in-terms of feasibility, acceptability and convenience for the patient, caregiver and physician. However, due to the emergence of this pandemic, Telemedicine and its crucial role in Iran has not yet been identified in the insurance and health system appropriately. Even though Telemedicine was started as a practical and urgent solution against COVID-19 restrictions, it is necessary to be evaluated as an alternative method for clinical evaluations of the patients with dementia in Iran in the future.",alzheimer
34971254,Assessing cognition in the era of COVID19: Do we need methods to assess cognitive function virtually?,Alzheimers Dement,"BACKGROUND: With an aging population, cognitive impairment has become increasingly prevalent. Early symptoms are often missed in primary care and may progress to clinical dementia before being noticed. Screening for dementia has been a challenge. No clear guideline describes how to assess for cognition in primary care despite the robust data suggesting that early identification of dementia allows for mobilization of resources to support patients and caregivers, and there is no harm in proactive assessing cognition in older patients. In addition, most of the cognitive assessment methods requires in-person cognitive testing in primary care practices, this may be affected by situations where the in-person visitations to the physician offices are limited such as in the COVID 19 pandemic. Our study aims to access performance of in-person cognitive assessment in primary care during COVID 19 pandemic. METHODS: Cleveland Clinic implanted MiniCog as a cognitive screening tool in primary care at Cleveland Clinic Community Care (4C). Inclusion criteria are- Age 65+, Annual Wellness visit, no preexisting diagnosis of dementia, normal MiniCog in previous year. Data were registered from from January 2019 until November 2020. RESULTS: Figure 1 displays the number of MiniCog performed at 4C averaging 360 MiniCog every month. Total number of MiniCogs performed during the study period was 7126 out of which 6739 were normal (95%) and 387 were abnormal (5%). Figure 2 displays the impact of COVID 19 pandemic on in-person visits in 4C, resulting an impressive decline in cognitive assessment process leading to no cognitive testing in April and only two tests in May. CONCLUSION: Most of the cognitive assessment tools used in clinical practice requires in-person office based and are often needed to diagnose dementia. Telephonic cognitive interviews such as TICS and MoCA 5 minute protocol are available, but are difficult to administer in primary care. The substantial drop in the performance of in-person cognitive assessment during the COVID 19 pandemic raises the need of validated tools to virtually assess cognitive function and also highlights the negative impact of COVID 19 pandemic on already frail processes of assessing cognitive health of older adults in primary care.",alzheimer
34971249,Fighting social isolation of vulnerable people with dementia through remote group meetings: An experience report.,Alzheimers Dement,"PROJECT DESCRIPTION: With the COVID-19 pandemic (WHO, 2020), social distancing became a crucial means to prevent further spread of the disease (Wendy et al, 2020). This raises concerns for dementia care (Wang et al, 2020), as social distancing leads to reduced cognitive stimulation, exercise, social networking and leisure activities (Brown et al, 2020). Active participation in art has shown positive impacts on the psychosocial wellbeing of stroke survivors (Morris et al, 2019). Additionally, engaging with humor potentially improves the memory, communication and self-esteem of people with dementia (PWD) (Stevens, 2012). This study aims at reporting an innovative, interdisciplinary remote intervention targeted at groups of PWD and stroke survivors during the COVID-19 pandemic. These were part of the university community outreach program Playful Living, which aims at promoting digital inclusion, quality of life and equity through artistic group activities. The project began in 2020 and consists of weekly group meetings through online platforms, with different creative practices happening each week. These include dance, gastronomy, storytelling and clowning. There are 32 participants: 13 PWD, 14 stroke survivors and 5 older adults with no diagnosis of neurological conditions. All participants were selected considering social vulnerability determinants: income, race, gender and educational background. Participants were divided into four groups, each with a fixed team (students of Speech Therapy, Psychology, Dance and Dramatic Arts) and moving members. So far, seven meetings took place. The activities have provided different opportunities for sharing memories, experiencing and expressing emotions through art. Participants reported looking forward to the meetings, with increasing participation and bonding. A major concern has been digital inclusion: stable internet access, camera and microphone management. Those aspects directly affect participants' ability to engage in group dynamics and potentially impact their self-esteem and well-being. However, improvements are observed on a daily basis, thanks to the combined efforts of team members and caregivers. The project has provided participants with means for self-expression and social interaction in a safe environment. Perceived difficulties thus far point toward the need for continued efforts in terms of social and digital inclusion for this population currently and beyond the pandemic setting.",alzheimer
34971248,With challenge comes opportunity: Dementia care innovations made in senior living during COVID that will outlast the pandemic.,Alzheimers Dement,"BACKGROUND: Senior living communities are designed to foster social engagement and a sense of community between the residents. These settings offer a variety of care services and supports that are at their core relationship-centered and focused optimizing the health and wellness of the residents. COVID brought major disruptions to this communal environment. Residents accustomed to daily socialization and engagement were physically separated from each other and the broader community. The impact of this isolation was immediate and had a significant impact on residents' cognitive wellness. The pressing needs of COVID forced senior living to innovate in relation to the care of people living with dementia in these communities. We will discuss how innovations to process, infection control, technology, and design were used to keep residents safe from COVID and simultaneously maintain residents' physical and psychosocial well-being. Finally, we look to how these COVID-induced innovations can re-shape the future of dementia care in senior living.",alzheimer
34971245,"Tactics, teaching and transitioning: Response to the COVID-19 pandemic in the nursing home sector.",Alzheimers Dement,"From leadership to the front-line our skilled nursing organization leveraged the expertise of all professionals in our various disciplines. A cohesive aligned approach was implemented to provide support, create and standardize guidance, develop systems, education and policies to conquer challenges being posed by COVID-19 in our settings. In addition to keeping residents safe from the virus, we as operators needed to establish creative ways to respond to the delivery of quality care, caring for residents, families and staff all while adhering to regulatory compliance and the ongoing pandemic and new challenges posed as we venture into a post pandemic world.",alzheimer
34971241,Clinical experience with polygenic risk score in subjects with early cognitive concerns.,Alzheimers Dement,"BACKGROUND: There is mounting evidence that lifestyle interventions and behavioural changes play a significant role in maintaining cognition and function, as well as preventing dementia. Consequently, it is important that clinicians confronted with subjects with early cognitive concerns, have appropriate tools available to assist in diagnosis and to facilitate risks management appropriately. The application of polygenic risk score (PRS) tests has the potential to contribute towards management planning and to reduce the burden of testing in subjects with low overall risk. METHODS: This retrospective analysis considered the application of genoSCORE(TM) in a small cohort of patients seen over a six month period in a London Memory Clinic. The test was offered to selected patients in the clinic with MCI not clinically attributable to dementia, or cognitively normal individuals concerned about their risks of dementia. The impact upon clinical management and lifestyle modification was reviewed. genoSCORE, a polygenic risk score algorithm, was developed by Cytox to assess genetic risk for the future development of Late-Onset Alzheimer's disease (LOAD). RESULTS: Patients receiving the genoSCORE test included those with early MCI, subjective memory complaints and a small number concerned about their risk of dementia. In each case, a medical history was taken and individuals assessed using the Addenbrooke's Cognitive Examination, conducted either in clinic or remotely. genoSCORE polygenic risk score was easy to conduct and well received. The results stimulated individuals at risk of developing LOAD to make lifestyle adjustments and thereby potentially modifying their dementia risk. CONCLUSIONS: In this study, the genoSCORE PRS test provided a valuable assessment of genetic risk of individuals most likely to decline cognitively decline towards AD and as such, contributed significantly to clinical management decisions. The ease and effectiveness of home sampling of saliva as source DNA for the PRS test was a major factor and well aligned with the continuing need for remote consultations in the light of COVID-19 concerns. Further larger-scale studies to determine the full clinical and associated economic impact of the genoSCORE PRS test are required.",alzheimer
34971235,Home care becoming essential during pandemic.,Alzheimers Dement,"BACKGROUND: Prior to COVID-19, the home care industry was not seen as an extension of the healthcare system. However, the pandemic revealed that keeping older adults and individuals living with dementia at home and out of the hospital was essential. Just like the rest of the LTC industry, home care had to quickly adapt to keep individuals safe while still providing person centered care. Join this session to learn important lessons learned for the home care industry and best practices for moving forward.",alzheimer
34971221,Patient experience and satisfaction with remote memory assessment: Responding to clinical need in times of COVID-19 restrictions.,Alzheimers Dement,"BACKGROUND: The suspension of memory services during the COVID-19 pandemic delayed dementia diagnosis and access to early intervention. Some services responded to the challenge by developing a remote memory assessment pathway to comply with reduced social contact measures to protect vulnerable patients. The aim of the study was to establish whether remote model is considered a satisfactory experience within the context of the COVID-19 pandemic and to understand the factors associated with patient and carer satisfaction of remote pathway. METHOD: 73 participants recruited from patients referred to memory clinic in West Sussex, who were assessed over a video or telephone. Participants completed an 11-item questionnaire capturing satisfaction across a range of elements, contextual items (the impact of the pandemic, loneliness, previous experience of using teleconference technology and diagnosis), as well as 3 dimensions from Patient Experience Questionnaire. Descriptive statistics are reported at a whole sample level, separated by patient and carer status. A hypothesis driven set of bivariate analyses (Spearman's rank) was used to understand the association between overall satisfaction and key independent factors across the whole sample. RESULTS: 73 participants were typically older adults (M=68.5, SD=13.3) and female (n=40, 54.8%). The patient was more likely to be older, feel lonely within the past week and to have used video call software when compared to the carer (p> 0.05). Participants were generally satisfied with the remote pathway with 95.8% (n=69) agreeing or strongly agreeing with the statement ""Overall, I was satisfied with the assessment"". Patients and carers did not significantly differ on any satisfaction response, apart from the ease of use of technology, in which carers were more likely to find the technology easy to use (U= 432.5; p=0.01). Worry about contracting COVID and communication experience was positively associated with overall satisfaction, whilst perceived communication barriers were significantly negatively associated with overall satisfaction. CONCLUSIONS: Remote memory assessment was a positive and satisfactory experience for most patient and carers. The remote pathway should be considered as an option available during and beyond the pandemic to improve access and patient choice of assessment modality.",alzheimer
